sepaSite,date,weeklyAverageAf,actualBiomassOnSiteTonnes,maximumBiomassAllowedTonnes,total_AF
SAR1,2017-09-17,0.13,664,1500,46800
SAR1,2017-09-18,0.13142857142857142,661.5,1500,47314.28571428571
SAR1,2017-09-19,0.13285714285714287,659,1500,47828.571428571435
SAR1,2017-09-20,0.13428571428571429,656.5,1500,48342.85714285714
SAR1,2017-09-21,0.13571428571428573,654,1500,48857.14285714286
SAR1,2017-09-22,0.13714285714285715,651.5,1500,49371.42857142857
SAR1,2017-09-23,0.1385714285714286,649,1500,49885.71428571429
SAR1,2017-09-24,0.14,646.5,1500,50400.00000000001
SAR1,2017-09-25,0.13571428571428573,644,1500,48857.14285714286
SAR1,2017-09-26,0.13142857142857145,641.5,1500,47314.28571428572
SAR1,2017-09-27,0.12714285714285714,639,1500,45771.42857142857
SAR1,2017-09-28,0.12285714285714286,636.5,1500,44228.57142857143
SAR1,2017-09-29,0.11857142857142858,634,1500,42685.71428571429
SAR1,2017-09-30,0.1142857142857143,631.5,1500,41142.857142857145
SAR1,2017-10-01,0.11,629,1500,39600
SAR1,2017-10-02,0.11857142857142858,624.1935483870968,1500,42685.71428571429
SAR1,2017-10-03,0.12714285714285714,619.3870967741935,1500,45771.42857142857
SAR1,2017-10-04,0.13571428571428573,614.5806451612904,1500,48857.14285714286
SAR1,2017-10-05,0.1442857142857143,609.7741935483871,1500,51942.857142857145
SAR1,2017-10-06,0.15285714285714286,604.9677419354839,1500,55028.57142857143
SAR1,2017-10-07,0.16142857142857142,600.1612903225806,1500,58114.28571428571
SAR1,2017-10-08,0.17,595.3548387096774,1500,61200.00000000001
SAR1,2017-10-09,0.16285714285714287,590.5483870967741,1500,58628.571428571435
SAR1,2017-10-10,0.15571428571428572,585.741935483871,1500,56057.14285714286
SAR1,2017-10-11,0.14857142857142858,580.9354838709678,1500,53485.71428571429
SAR1,2017-10-12,0.14142857142857143,576.1290322580645,1500,50914.28571428571
SAR1,2017-10-13,0.13428571428571429,571.3225806451613,1500,48342.85714285714
SAR1,2017-10-14,0.12714285714285714,566.516129032258,1500,45771.42857142857
SAR1,2017-10-15,0.12,561.7096774193549,1500,43200
SAR1,2017-10-16,0.12714285714285714,556.9032258064516,1500,45771.42857142857
SAR1,2017-10-17,0.13428571428571429,552.0967741935484,1500,48342.85714285714
SAR1,2017-10-18,0.14142857142857143,547.2903225806451,1500,50914.28571428571
SAR1,2017-10-19,0.14857142857142858,542.483870967742,1500,53485.71428571429
SAR1,2017-10-20,0.15571428571428572,537.6774193548387,1500,56057.14285714286
SAR1,2017-10-21,0.16285714285714287,532.8709677419355,1500,58628.571428571435
SAR1,2017-10-22,0.17,528.0645161290323,1500,61200.00000000001
SAR1,2017-10-23,0.16071428571428573,523.258064516129,1500,57857.14285714286
SAR1,2017-10-24,0.15142857142857144,518.4516129032259,1500,54514.28571428572
SAR1,2017-10-25,0.14214285714285715,513.6451612903226,1500,51171.42857142857
SAR1,2017-10-26,0.13285714285714287,508.8387096774194,1500,47828.571428571435
SAR1,2017-10-27,0.12357142857142858,504.0322580645161,1500,44485.71428571429
SAR1,2017-10-28,0.1142857142857143,499.2258064516129,1500,41142.857142857145
SAR1,2017-10-29,0.105,494.4193548387097,1500,37800
SAR1,2017-10-30,0.1042857142857143,489.61290322580646,1500,37542.857142857145
SAR1,2017-10-31,0.10357142857142858,484.8064516129032,1500,37285.71428571429
SAR1,2017-11-01,0.10285714285714288,480,1500,37028.57142857144
SAR1,2017-11-02,0.10214285714285716,476.1,1500,36771.42857142858
SAR1,2017-11-03,0.10142857142857144,472.2,1500,36514.28571428572
SAR1,2017-11-04,0.10071428571428571,468.3,1500,36257.14285714286
SAR1,2017-11-05,0.1,464.4,1500,36000
SAR1,2017-11-06,0.09714285714285714,460.5,1500,34971.42857142857
SAR1,2017-11-07,0.09428571428571428,456.6,1500,33942.85714285714
SAR1,2017-11-08,0.09142857142857144,452.7,1500,32914.28571428572
SAR1,2017-11-09,0.08857142857142858,448.8,1500,31885.714285714286
SAR1,2017-11-10,0.08571428571428572,444.9,1500,30857.14285714286
SAR1,2017-11-11,0.08285714285714287,441,1500,29828.57142857143
SAR1,2017-11-12,0.08,437.1,1500,28800
SAR1,2017-11-13,0.08,433.2,1500,28800
SAR1,2017-11-14,0.08,429.3,1500,28800
SAR1,2017-11-15,0.08,425.4,1500,28800
SAR1,2017-11-16,0.08,421.5,1500,28800
SAR1,2017-11-17,0.08,417.6,1500,28800
SAR1,2017-11-18,0.08,413.7,1500,28800
